Kommun,County,Part,Coastal,Vehicles,Builton,Children,Seniors,Higheds,Income,GRP,PM10
0114 Upplands Väsby,01 Stockholms län,2,0,535.6,34,19,16.7,16.6,299.1,339,1.6
0115 Vallentuna,01 Stockholms län,2,0,780.8,90,20.4,16.1,19.2,341.5,249,2.4
0117 Österåker,01 Stockholms län,2,1,707.7,108,19.2,18.5,18.6,342.5,227,2.3
0120 Värmdö,01 Stockholms län,2,1,684.7,182,19.3,17.8,18.2,340.5,265,2.9
0123 Järfälla,01 Stockholms län,2,0,485.1,23,19,16.4,19.3,301.4,343,1.6
0125 Ekerö,01 Stockholms län,2,0,724.9,113,21.7,17.4,20.8,365.6,260,2.3
0126 Huddinge,01 Stockholms län,2,0,479.8,34,20.2,13.8,19.6,305.6,411,1.5
0127 Botkyrka,01 Stockholms län,2,1,433.2,35,19.8,14.3,13.6,265.7,245,1.5
0128 Salem,01 Stockholms län,2,0,528.9,42,21.1,17.5,18.2,325.6,132,1.6
0136 Haninge,01 Stockholms län,2,1,533.8,61,19.9,15,12.9,295.7,311,1.8
0138 Tyresö,01 Stockholms län,2,1,531.3,41,19.5,16.8,17.9,331.6,213,1.5
0139 Upplands-Bro,01 Stockholms län,2,0,584.9,86,20.9,15.3,14.8,296,376,2
0140 Nykvarn,01 Stockholms län,2,0,811.6,127,20.8,16.9,14,347.1,266,2.3
0160 Täby,01 Stockholms län,2,1,567.6,33,19.3,19,30,389.9,399,1.9
0162 Danderyd,01 Stockholms län,2,1,706.3,45,19.2,20.4,38,433,712,2.1
0163 Sollentuna,01 Stockholms län,2,1,669.1,28,19.8,15.9,27.3,347.1,379,1.9
0180 Stockholm,01 Stockholms län,2,1,505.7,11,16.6,15.6,30.7,327,1076,2.3
0181 Södertälje,01 Stockholms län,2,1,720.7,56,18.2,16.1,14,271.8,887,2.8
0182 Nacka,01 Stockholms län,2,1,685.6,34,20.4,16.6,27.2,367.5,384,2.1
0183 Sundbyberg,01 Stockholms län,2,0,366.9,8,17.3,12.8,26.1,317.9,595,0.9
0184 Solna,01 Stockholms län,2,1,719,12,15.1,15.3,34.7,341.6,2159,2.1
0186 Lidingö,01 Stockholms län,2,1,500.9,28,18.8,21,32.2,377.9,251,1.5
0187 Vaxholm,01 Stockholms län,2,1,656.9,115,17.9,22.3,24.6,376.7,267,2.6
0188 Norrtälje,01 Stockholms län,2,1,958,259,15.1,27.5,12.5,291.7,343,5.1
0191 Sigtuna,01 Stockholms län,2,0,595.3,92,20.4,14.6,13.9,281.7,439,2.2
0192 Nynäshamn,01 Stockholms län,2,1,693.8,114,17.4,22.2,11.9,298.9,248,3
0305 Håbo,03 Uppsala län,2,0,837,78,19.5,18,12.2,323.6,247,2.7
0319 Älvkarleby,03 Uppsala län,2,1,926.4,147,17.4,24.8,9.9,284.4,392,7.1
0330 Knivsta,03 Uppsala län,2,0,745.1,101,22.8,13.9,22.9,329.7,205,2.5
0331 Heby,03 Uppsala län,2,0,1120.5,310,17,24.9,9.3,273.3,280,5.5
0360 Tierp,03 Uppsala län,2,1,1032.3,273,17.3,24.1,9.8,278.8,323,5
0380 Uppsala,03 Uppsala län,2,0,557.7,59,16.9,17.1,29,283.2,568,1.8
0381 Enköping,03 Uppsala län,2,0,875.5,136,18.7,20.7,13.6,294.5,359,3.7
0382 Östhammar,03 Uppsala län,2,1,1086.5,300,15.9,28.1,10.2,299.7,638,5.3
0428 Vingåker,04 Södermanlands län,2,0,1061.8,244,16.4,26.7,8.7,270.2,266,4.1
0461 Gnesta,04 Södermanlands län,2,0,873.5,194,18.2,24,13.4,296.8,191,4.1
0480 Nyköping,04 Södermanlands län,2,1,800.3,135,17.5,24.1,14.5,294.1,370,3.9
0481 Oxelösund,04 Södermanlands län,2,1,675,85,16.9,27.9,9.4,286.3,548,19.3
0482 Flen,04 Södermanlands län,2,0,896.9,227,16.4,28.8,10.1,263.5,262,5.4
0483 Katrineholm,04 Södermanlands län,2,0,799.9,139,17.9,23.5,11.1,277.7,354,3.2
0484 Eskilstuna,04 Södermanlands län,2,0,693.3,80,18.3,20.1,13.7,273.6,446,2.6
0486 Strängnäs,04 Södermanlands län,2,0,828.5,134,18.2,22.8,16.5,309.3,337,3.1
0488 Trosa,04 Södermanlands län,2,1,814,132,18.1,24.7,14.3,321.1,276,3
0509 Ödeshög,05 Östergötlands län,1,0,1185.9,397,16.3,28.2,10.7,281.7,243,7.5
0512 Ydre,05 Östergötlands län,1,0,1316.6,567,15.3,31.6,12.8,279.5,224,9.2
0513 Kinda,05 Östergötlands län,1,0,1122.3,371,16.4,27.5,12.7,289.1,283,6.1
0560 Boxholm,05 Östergötlands län,1,0,1083.6,332,15.8,27.2,9.8,291.8,279,5.5
0561 Åtvidaberg,05 Östergötlands län,1,0,984.7,222,16,27,11,282.9,235,4
0562 Finspång,05 Östergötlands län,1,0,908.3,176,16.7,25.1,11.4,284.1,539,3.5
0563 Valdemarsvik,05 Östergötlands län,1,1,1082.8,352,14.1,32.5,9.6,269,260,5.5
0580 Linköping,05 Östergötlands län,1,0,628.8,68,17,17.7,24.7,287.3,603,2.2
0581 Norrköping,05 Östergötlands län,1,1,682.2,74,17.8,19.5,15.8,279,445,3.4
